user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,text,date,hashtags,source,is_retweet
Paul Phillips,,,4/24/2016 15:20,117,429,7381,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant https://t.co/3o0eQ8SsFF",1/20/2023 2:44,,Twitter Web App,FALSE
Barry,Chester Basin,waiting for spring,1/26/2013 23:05,65,712,6958,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant https://t.co/EVaW2Q9NAZ",1/19/2023 23:09,,Twitter for Android,FALSE
The People's Response Network to COVID-19(PRN)💉😷,"Chicago, IL",Working to erase Chicago's racial disparities in mitigating COVID-19 by rebuilding Chgo's public health infrastructure via Ordinance (O2021-1214).,4/2/2021 21:05,529,1425,7323,FALSE,The World Health Organization on Friday updated its mask guidance as the highly contagious omicron subvariant XBB.1… https://t.co/pVh2pV4o9t,1/19/2023 21:53,,Twitter for iPad,FALSE
StephanieCzekalinski,"Cleveland, Ohio",Journalist's journalist. Unpublished novelist. Undercover poet. Long live kitchen anarchy!,7/19/2011 14:43,950,1630,1820,TRUE,"XBB.1.5 is a new omicron subvariant that last week accounted for about 43% of cases nationwide, according to the Ce… https://t.co/Byuf9pgvLo",1/19/2023 21:39,,Twitter Web App,FALSE
expertbeans,"Assam, India",Learning Full stack web development📈,5/18/2022 15:02,86,31,1704,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant #UI via https://t.co/o6bovrSR1D https://t.co/PNE2rED5SU",1/19/2023 21:30,['UI'],TwinyBots,FALSE
Air Medical Today,USA,Air Medical News & Information with Podcasts,2/4/2009 14:34,5828,453,4,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant | PBS NewsHour… https://t.co/9jDpPtSxhA",1/19/2023 21:30,,Buffer,FALSE
Daman Beatty,"Surrey, BC",Creative takin pics. drawing. enjoying life,5/23/2008 12:15,11997,11341,12094,FALSE,"A new Covid-19 omicron subvariant, XBB.1.5, is sweeping the country. https://t.co/X88Pxe7YNg",1/19/2023 19:14,,Twitter for iPhone,FALSE
🌎 🌍 ☮️ Carl Doss,"California, USA, Earth",“One Race the Human Race”  “Be The Change 4 Equality”,9/14/2008 20:27,18806,20689,265399,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant https://t.co/xJZ4qtbQYy",1/19/2023 18:14,,Twitter for iPhone,FALSE
Tompkins County Whole Health,"Ithaca, NY",Tompkins County Whole Health provides public health and mental health programs and services for Tompkins County residents.  (607) 274-6600 or (607) 274-6200.,5/24/2018 15:10,3314,440,1712,FALSE,"Health Alert: COVID-19 Subvariant of Concern Omicron XBB.1.5; Boosters Urged
The newest COVID-19 Omicron subvariant… https://t.co/5c5YvGmPPN",1/19/2023 17:55,,Twitter Web App,FALSE
Brianna Wu,"Dedham, MA",Executive Director of @rebellionpac. Former Candidate for US House in MA. Software engineer. Like to go fast. 🏎🏍🏃🏻‍♀️🎮 brianna@hey.com,11/9/2008 4:14,143163,7667,287660,TRUE,"Uhhh. The vaccines barely work against the new variant, and no one is talking about it? 

https://t.co/ey4quihPue https://t.co/qm2q6FedZC",1/19/2023 17:38,,Twitter for iPhone,FALSE
Dr Imran Sheikh 🩺,"Rotterdam, The Netherlands.","MD  MS FACP Neurosurgeon
ICR researcher in Cancer Genomics. #KCL Alumni. #NHS reg Dr. CRUK 
https://t.co/oxznFwqqLA research lead. Currently relate with Erasmus MC",11/22/2011 23:51,16023,14193,19271,FALSE,Americans 65 and older are dying at disproportionately higher rates from COVID-19. Add to this the yet-to-be-fully… https://t.co/6Gh7IQx6KD,1/19/2023 15:48,,Twitter Web App,FALSE
Amesh Adalja,"Pittsburgh, Baltimore, NYC","Infectious disease MD (also CCM & EM) focused on pandemics, emerging infections, biosecurity, biotech https://t.co/0U7G1vKrK6",12/16/2010 20:41,39584,2143,5029,TRUE,"“Within the U.S., there is wide geographic variation in the proportion of cases caused by XBB.1.5, ranging from sev… https://t.co/gfeMgvPC2E",1/19/2023 15:43,,Twitter for iPad,FALSE
Healthcare-Global😷,Canada,"Global Healthcare venue for tracking & trending⏩Rx ,recalls, technology, studies, treatments, outbreaks, and more💗💊💉🚑",2/3/2019 0:33,2001,4973,6815,FALSE,Europe sees small but growing presence of COVID XBB.1.5 subvariant https://t.co/WldFPwuSty,1/19/2023 15:12,,Twitter Web App,FALSE
NiagaraOHT,"Niagara, Ontario","Exceptional, connected care, now and for future generations. For emergencies call 9-1-1. #HealthyTogether",9/13/2019 18:10,492,1327,100,FALSE,@PublicHealthON data shows the XBB.1.5 subvariant (Kraken) could soon account for nearly a quarter of new COVID-19… https://t.co/G0HWqmwrRm,1/19/2023 14:59,,Meltwater Social,FALSE
🇮🇳 SA PhD,England,Senior public Health Expert - Data Analysis and Information Management,1/17/2021 23:33,340,810,10552,FALSE,Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NY https://t.co/EpMZh60ZF7,1/19/2023 14:59,,Twitter for iPhone,FALSE
Moshe Vardi,"Professor, Rice U., Houston",My mastodon account: @vardi@fediscience.org,4/26/2008 1:58,12435,90,4692,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant - PBS NewsHour https://t.co/8azfAeXSiC via @GoogleNews",1/19/2023 14:17,,Twitter Web App,FALSE
Swaggering Toward Bethlehem,,For the many. Mastodon: @kindandunblind@ohai.social,9/14/2011 17:57,3632,2904,8967,FALSE,OREGON: Oregon health officials reported a 16% drop in newly identified coronavirus cases this week and an 9% drop… https://t.co/a4w1zHvzA7,1/19/2023 14:05,,Twitter Web App,FALSE
#InTuneWithYOU,North West Province,Commercial Radio Station| News | Lifestyle | Trends |  89.8-103.9 North West and parts of Gauteng. Channel 842 on DSTV📻 get YOU CHAT & YOU CONNECT apps.,3/19/2014 10:11,21448,1492,1922,FALSE,Update: Second case of XBB.1.5 Covid-19 subvariant found in SA https://t.co/Pj84dJMmOW https://t.co/swPv5yEPOi,1/19/2023 12:51,,IFTTT,FALSE
Bone Research,United States,"Journal of Bone Research Deals with the updated advancement of in the field of Bone, joint& orthopaedics research. We are Open Access,Peer reviewed, publishers.",12/22/2016 12:29,679,1081,229,FALSE,"Despite intensive public health efforts to grind the COVID-19 pandemic to a halt, the recent emergence of the highl… https://t.co/KVlvRG6JB4",1/19/2023 12:45,,Twitter Web App,FALSE
newsnote,South Africa,"An online news site with extensive coverage across the country and around the globe, backed by seasoned journalists.",8/13/2015 12:23,2059,443,324,FALSE,Update: Second case of XBB.1.5 Covid-19 subvariant found in SA https://t.co/SgZH4E48vk https://t.co/DHuXgJrYRM,1/19/2023 12:00,,Twitter Web App,FALSE
Vikram Jha (维克),"New York, USA",We are starting clinicaltrials of our rapid #Covid19 screening platform in China & US. 我们正在中国和美国启动针对#Covid-19 快速筛查平台的声音生物标志物的临床试验 invinciblejha@med-mastodon.com,9/11/2009 13:20,2007,5000,16496,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/5wHOqJtbmd,1/19/2023 11:41,,Twitter for Android,FALSE
WTF,,"NO PERSONAL DMs Democrat ‘For all the sad words of tongue and pen, The saddest are these, It might have been'.JG Whittier.",12/2/2016 13:25,18297,13407,114865,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant | PBS NewsHour https://t.co/WX0z2fwCee",1/19/2023 10:55,,Twitter for iPhone,FALSE
PBS NewsHour,"Arlington, VA",PBS NewsHour is one of the most trusted news programs on TV and online.,4/18/2008 21:57,1203712,95838,19391,TRUE,XBB.1.5 is arguably the most genetically rich and most transmissible SARS-CoV-2 omicron subvariant yet. https://t.co/2d6Sv1kdI8,1/19/2023 10:47,,Sprout Social,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4232,44,6,FALSE,"HK logs 4,015 COVID-19 cases today, 2 more local XBB.1.5 subvariant cases reported, 45 more patients pass away https://t.co/HQ0dwh7Hkd",1/19/2023 9:57,,Zapier.com,FALSE
Microbes.info,Earth,"Tweeting and RT-ing microbiology news, articles and comments relevant to aspects on bacteria, fungi, viruses and other microbes / microorganisms. Microbes are 💪",4/12/2019 20:42,1504,516,15774,FALSE,"What to know about #COVID-19 #coronavirus #omicron XBB.1.5 #variant ... 

| #COVID19 | #mutant | #PublicHealth |… https://t.co/kUjStzVi79",1/19/2023 8:00,"['COVID', 'coronavirus', 'omicron', 'variant', 'COVID19', 'mutant', 'PublicHealth']",Buffer,FALSE
Kashmir Watch,Jammu & Kashmir,"Gar firdaus bar-rue zamin ast, hami asto, hamin asto, hamin ast- If there is a heaven on earth, it’s here, it’s here, it’s here.",1/11/2022 8:32,110,47,54,FALSE,"#Omicron XBB.1.5 strain is fast spreading across the globe. As per a recent study, the #COVID variant is 63 times l… https://t.co/XlgRJvCdvj",1/19/2023 7:46,"['Omicron', 'COVID']",Twitter Web App,FALSE
Vigilant Violet,,"Wear a damn mask.
#Resist
#BLM
 I stand with Ukraine 

I am #TheResistance fighting for our Democracy!
NO DM's",1/31/2017 5:15,5128,5103,179467,FALSE,"@typo_cat Why take any chances? There are still other variants of COVID out there.
You must keep up with your boost… https://t.co/jQWhv1WKpj",1/19/2023 5:44,,Twitter Web App,FALSE
ActivistBowen: #PFIZER X 4,Hong Kong,"person, brother, son, friend; #COVID19 IS SERIOUS; GET FOUR DOSES!!! #GETVACCINATED #DOUBLEBOOST...,it's the RIGHT thing to do for #SOCIETY",6/8/2011 20:17,4349,4909,5817,FALSE,"3. a) ,...here in #HONGKONG #HK, even under RELAXED PROTOCOLS, we're UNDER 4000 cases/day: https://t.co/4Zrh4NCB4Y.… https://t.co/0GteNaJosU",1/19/2023 5:25,"['HONGKONG', 'HK']",Twitter Web App,FALSE
JoshuaGreen,,"interests include: math, computer science and programming, physics, chess, and puns",3/21/2019 2:01,80,184,5821,FALSE,@DrEliDavid Poor phrasing.  The full post is https://t.co/HbYUXytDLL and the reference to those who already had COV… https://t.co/G2LJSthdTh,1/19/2023 2:50,,Twitter Web App,FALSE
Kheir Clinic,"3727 W 6th St. LA, CA 90020","We provide free & low-cost healthcare to underserved & uninsured communities in Bengali, English, Korean, Spanish & Thai. 
Located in Koreatown, Los Angeles.",6/27/2011 17:06,493,397,487,FALSE,"As the Omicron subvariant, XBB.1.5 is increasing, stay up to date on your vaccines to protect yourselves and your l… https://t.co/4xOMV1L15y",1/19/2023 2:00,,Hootsuite Inc.,FALSE
Cambridge Times,"Cambridge, Ont.","Your community newspaper in Cambridge, Ont. We can be found at 475 Thompson Dr., units 1 to 4, Cambridge, Ontario – postal code is N1T 2K7.  519-623-7395.",11/10/2009 16:03,7816,328,204,FALSE,Canada appears to be in for another wave of COVID-19 cases and associated hospitalizations as a new surge of the vi… https://t.co/NtgGDHbMsG,1/19/2023 0:00,,Buffer,FALSE
NNPBC,"British Columbia, Canada",Nurses and Nurse Practitioners of BC (NNPBC) is professional association representing all of BC's nursing designations.,4/26/2011 21:29,6110,2836,7279,FALSE,"As COVID-19 continues to circulate and new variants such as XBB.1.5 emerge, it is important to do all we can to pro… https://t.co/9yOWaCgcQe",1/18/2023 23:11,,TweetDeck,FALSE
USC,"Los Angeles, CA",The official Twitter account of the University of Southern California. #USC | #FightOn,1/31/2009 8:33,170929,3223,18727,TRUE,Previous infections and vaccinations won't protect from a new subvariant of COVID. A virologist from… https://t.co/mgK264nmei,1/18/2023 23:00,,Sprinklr,FALSE
WDTV 5 News,,"WDTV is the CBS affiliate for the Weston/Clarksburg/Fairmont, West Virginia media market.",1/20/2012 16:55,10106,269,106,TRUE,"XBB 1.5 is the new highly-transmissible omicron subvariant of COVID-19, and according to the CDC, its accounting fo… https://t.co/4brhEhEMYO",1/18/2023 21:45,,SocialNewsDesk,FALSE
Micro Instructor,,For the love of all things micro.,11/2/2009 19:21,153,46,581,FALSE,"Well, looks like we have a new Covid variant circling the globe. But, what do you we know about the XBB.1.5 variant… https://t.co/Ct69QNJOBL",1/18/2023 21:23,,Twitter Web App,FALSE
Resolute Mama,,"It's THE truth, not A truth, not YOUR truth.",2/7/2018 0:48,1434,3462,51139,FALSE,"""XBB.1.5 is the most transmissible form of COVID-19 that we know of to date and may be more likely to infect people… https://t.co/yhqkloufNv",1/18/2023 19:53,,Twitter for Android,FALSE
Bennett Hunter (I am Canadian Libertarian),,"In the age of information ignorance is a choice.
True Liberty requires Evolution, not Revolution.
Follow me on https://t.co/4uQruIgXUq…",3/23/2013 15:41,1114,889,41867,FALSE,"""This suggests that neither monovalent nor bivalent booster vaccines can be relied upon to provide adequate protect… https://t.co/f1HH13W21Z",1/18/2023 19:43,,Twitter Web App,FALSE
